new_prompt,subject,attribute
Which continent is Vinson Massif located in?,Vinson Massif,Antarctica
Who owns Beats Music?,Beats Music,Apple
Who owns Audible.com?,Audible.com,Amazon
On which network does The Big Bang Theory premiere?,The Big Bang Theory,CBS
Who created the product called MacApp?,MacApp,Apple
What is the citizenship of Giuseppe Angeli?,Giuseppe Angeli,Italy
Which continent does Catalonia belong to?,Catalonia,Europe
What language is mixed and spoken in Marshall Islands?,Marshall Islands,English
Who is Leslie Moonves employed by?,Leslie Moonves,CBS
What is the original language of De finibus bonorum et malorum?,De finibus bonorum et malorum,Latin
To which continent does Kirkpatrick Glacier belong?,Kirkpatrick Glacier,Antarctica
Where is the headquarter of the Army of the Guardians of the Islamic Revolution located?,Army of the Guardians of the Islamic Revolution,Tehran
What language was Il Gazzettino written in during the early 1980s?,Il Gazzettino,Italian
From which company does Xamarin come from?,Xamarin,Microsoft
Where was Eavan Boland born?,Eavan Boland,Dublin
"In which language is ""Comme j'ai mal"" written?",Comme j'ai mal,French
What language did Juan Bautista de Anza use that is a bit different from the language used by the Spanish?,Juan Bautista de Anza,Spanish
On which network did Alfred Hitchcock Presents debut?,Alfred Hitchcock Presents,NBC
"Which company, part of a consortium, develops Tizen?",Tizen,Samsung
What sport did Honus Wagner professionally play?,Honus Wagner,baseball
Which country did samurai cinema originate in?,samurai cinema,Japan
What is the capital of the Roman Republic?,Roman Republic,Rome
Where was Henri Debain born?,Henri Debain,Paris
What is the nationality of Adriano Celentano?,Adriano Celentano,Italy
Which organization is the Czech Republic national football team a member of?,Czech Republic national football team,FIFA
Who developed Windows Media Player?,Windows Media Player,Microsoft
Who developed NTFS?,NTFS,Microsoft
"Where did Knud, Hereditary Prince of Denmark pass away?","Knud, Hereditary Prince of Denmark",Copenhagen
Which sport does Don Shula professionally play?,Don Shula,football
What language is mixed in El Mercurio?,El Mercurio,Spanish
With which group is Iron Man affiliated?,Iron Man,Avengers
Where is the Massachusetts Institute of Technology located?,Massachusetts Institute of Technology,Cambridge
Which continent does Vietnam belong to?,Vietnam,Asia
On which network did The Tonight Show with Jay Leno premiere?,The Tonight Show with Jay Leno,NBC
What is the capital of the Philippines?,Philippines,Manila
What subject did Frederick Banting specialize in the study of?,Frederick Banting,physiology
What instrument was Clifford Curzon performing on?,Clifford Curzon,piano
Who developed the product known as Windows Media Audio?,Windows Media Audio,Microsoft
What is the heart of the city where Galatasaray University is located?,Galatasaray University,Istanbul
What is the language spoken in Nokia?,Nokia,Finnish
What is the followed religion in Northern Nigeria Protectorate?,Northern Nigeria Protectorate,Islam
What religion does Deobandi follow?,Deobandi,Islam
What nationality was the group that wrote Odnoklassniki in the early 1990s?,Odnoklassniki,Russian
What was the first position that Zeno of Verona held?,Zeno of Verona,bishop
Which country does Jean-Pierre Van Rossem have citizenship of?,Jean-Pierre Van Rossem,Belgium
What is the domain of work of Joseph Schumpeter?,Joseph Schumpeter,economics
What is the profession of Felix Salmon?,Felix Salmon,journalist
What is the capital of the Grand Duchy of Finland?,Grand Duchy of Finland,Helsinki
Who is the former and current owner of Goodreads?,Goodreads,Amazon
Which continent does the Rhine belong to?,Rhine,Europe
What is the religion affiliated with Muawiyah I?,Muawiyah I,Islam
What religion does Farrukhsiyar follow?,Farrukhsiyar,Islam
Which religion does Ibn Khaldun follow?,Ibn Khaldun,Islam
What was the capital of Vichy France?,Vichy France,Paris
In which city did John Pym die?,John Pym,London
What genre is mixed in the works played by Christopher Paolini?,Christopher Paolini,fantasy
In which language is 'Si la vie est cadeau' written?,Si la vie est cadeau,French
In which area does Brian De Palma work?,Brian De Palma,film
In which country was Magne Robo Gakeen created?,Magne Robo Gakeen,Japan
What language is Electricidad a mixture of?,Electricidad,Spanish
Where is the headquarters of Swedish Orphan Biovitrum located?,Swedish Orphan Biovitrum,Stockholm
What sport does Megan Rapinoe professionally play?,Megan Rapinoe,soccer
What position does Drake Britton play as?,Drake Britton,pitcher
In which country was Pandora Hearts created?,Pandora Hearts,Japan
Where was Nicolas Gigault born?,Nicolas Gigault,Paris
Who created LGA 775?,LGA 775,Intel
Which country was the Suite Habana created in?,Suite Habana,Cuba
Where was Emilia Rydberg born?,Emilia Rydberg,Stockholm
Who employs Adam Curtis?,Adam Curtis,BBC
